x,y,z,id,height
625388.26,6103102.8,841.51,348,25.6000268555
625235.92,6103446.02,832.94,349,24.0200170898
625364.62,6103308.92,844.31,350,25.5000024414
625380.66,6103448.51,837.83,351,21.7599926758
625416.57,6103335.57,846.76,352,25.6000268555
625371.92,6103463.58,838.1,353,22.4800048828
625174.01,6103302.51,828.87,354,28.0800219727
625267,6103503.48,836.45,355,27.0599853516
625452.48,6103163.8,838.56,356,26.9899926758
625150.14,6103282.31,826.31,357,26.8699975586
625287.53,6103414.18,837.37,358,25.169987793
625423.85,6103062.5,840.52,359,31.8899951172
625226.46,6103412.15,830.78,360,22.2900097656
625449.98,6103362.91,846.08,361,26.3699780273
625349.69,6103149.87,844.71,362,25.1399926758
625342.71,6103418.61,841.69,363,26.7600073242
625156.67,6103353.48,830.58,364,24.5400219727
625335.9,6103290.37,840.46,365,24.0199975586
625423.09,6103421.71,840.69,366,23.5100073242
625258.37,6103486.8,836.65,367,27.2699951172
625341.9,6103132.63,843.92,368,23.5700244141
625437.9,6103306.08,846.38,369,24.0499829102
625197.12,6103362.64,835.42,370,26.2400073242
625312.49,6103286.49,845.67,371,30.2099780273
625434.63,6103066.1,837.09,372,29.8000219727
625249.13,6103236.8,838.39,373,26.3599707031
625249.99,6103498.92,834.41,374,25.6900292969
625364.51,6103305.66,847.64,375,28.8099829102
625349.23,6103350.21,842.36,376,24.1900170898
625361.41,6103147.73,841.68,377,22.5800244141
625438.78,6103255.63,846.36,378,25.5899804688
625292.83,6103375.61,840.85,379,26.5699707031
625354.94,6103154.74,845.96,380,26.4800195313
625486.7,6103140.34,835.82,381,29.6299975586
625447.95,6103108.98,840.51,382,28.0699975586
625310.36,6103131.82,847.11,383,26.4400170898
625162.1,6103279.8,829.37,384,28.1799975586
625315.55,6103492.19,834.91,385,22.1399804688
625236.02,6103404.09,835.19,386,25.6799902344
625350.18,6103318.89,843.78,387,26.03
625165.75,6103238.39,832.7,388,27.150012207
625331.86,6103338.31,841.57,389,24.3799975586
625345.86,6103123.55,845.78,390,25.4700024414
625235.23,6103493.36,831.64,391,23.9200292969
625259.46,6103400.02,837.43,392,26.1200024414
625453.39,6103073.77,839.06,393,29.1199975586
625237.88,6103358.64,838.01,394,26.5800073242
625408.31,6103251.8,845.18,395,23.93
625213.32,6103249.8,835,396,26.9199829102
625294.56,6103288.21,841.88,397,27.6400097656
625143.96,6103343.44,827,398,22.4799804688
625192.94,6103361.17,833.21,399,24.1000146484
625269.73,6103385.29,836.81,400,24.4000268555
625190.12,6103345.57,833.32,401,24.9500048828
625360.89,6103363.6,843.62,402,25.4600268555
625436.07,6103119.68,840.22,403,26.7300097656
625293.83,6103364.12,841.26,404,26.6899926758
625205.74,6103449.51,833.43,405,27.18
625284,6103268.82,839.41,406,26.1700097656
625139.68,6103261.71,830.51,407,30.5400292969
625150.96,6103228.29,829.64,408,26.090012207
625294.67,6103429.42,837.32,409,24.8099902344
625265.11,6103228.64,840.62,410,26.9400073242
625336.92,6103341.63,843.87,411,26.3800097656
625255.6,6103221.5,839.36,412,25.2000268555
625373.6,6103437.61,839.72,413,23.6899707031
625566.43,6103275.81,844.09,414,27.9800146484
625146.23,6103276.37,826.66,415,27.459987793
625327.4,6103387.57,838.9,416,23.5199951172
625465.97,6103135.62,840.47,417,31.6000048828
